+------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-------------+-------------+
| Rank |                                                                                                                                                                                                                                                                                                  Drug Name                                                                                                                                                                                                                                                                                                  |  Target Name   | Interaction | Probability |
| 2130 |                                                                                                                                                                                                                                                                                     Growth hormone releasing hexapeptide                                                                                                                                                                                                                                                                                    | TP53_isoform_a |     YES     |     0.62    |
| 2131 |                                                                                                                                                                                                                                                                                                     UNK                                                                                                                                                                                                                                                                                                     | TP53_isoform_a |     YES     |     0.62    |
| 2132 |                                                                                                                                                                                                                                                                                                  Bmy 45778                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.62    |
| 2133 |                                                                                                                                                                                                                                                                                 1h-[1,2,4]Oxadiazolo[4,3-a]quinoxalin-1-one                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.62    |
| 2134 |                                                                                                                                                                                                                                                                                                   Torin 1                                                                                                                                                                                                                                                                                                   | TP53_isoform_a |     YES     |     0.62    |
| 2135 |                                                                                                                                                                                                                                                                              2-Methoxy-N-(3-(3-methylbenzamido)phenyl)benzamide                                                                                                                                                                                                                                                                             | TP53_isoform_a |     YES     |     0.62    |
| 2136 |                                                                                                                                                                                                                                                                         2-((4-(4-Fluorophenoxy)phenyl)methylene)hydrazinecarboxamide                                                                                                                                                                                                                                                                        | TP53_isoform_a |     YES     |     0.62    |
| 2137 |                                                                                                                                                                                                                                                               (4-Oxo-3,5-diphenyl-3,4-dihydro-thieno[2,3-d]pyrimidin-2-ylsulfanyl)-acetic acid                                                                                                                                                                                                                                                              | TP53_isoform_a |     YES     |     0.62    |
| 2138 |                                                                                                                                                                                                                                                                                                     UNK                                                                                                                                                                                                                                                                                                     | TP53_isoform_a |     YES     |     0.62    |
| 2139 |                                                                                                                                                                                                                                                                                                 Capecitabine                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.62    |
| 2140 |                                                                                                                                                                                                          (3Ar,4S,9bS)-4-(6-bromo-1,3-benzodioxol-5-yl)-3a,4,5,9b-tetrahydro-3H-cyclopenta[c]quinoline;(3aS,4R,9bR)-4-(6-bromo-1,3-benzodioxol-5-yl)-3a,4,5,9b-tetrahydro-3H-cyclopenta[c]quinoline                                                                                                                                                                                                          | TP53_isoform_a |     YES     |     0.62    |
| 2141 |                                                                                                                                                                                                                                                                                                   Mln9708                                                                                                                                                                                                                                                                                                   | TP53_isoform_a |     YES     |     0.62    |
| 2142 |                                                                                                                                                                                                                                                            (R)-9-(4-(1-Aminopropan-2-yl)phenyl)-8-hydroxy-6-methylthieno[2,3-c]quinolin-4(5H)-one                                                                                                                                                                                                                                                           | TP53_isoform_a |     YES     |     0.62    |
| 2143 |                                                                                                                                                                                                                                                                                                  Duvelisib                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.62    |
| 2144 |                                                                                                                                                                                                                      (4S,4As,5aR,12aS)-4,7-bis(dimethylamino)-9-[(2,2-dimethylpropylamino)methyl]-10,12a-dihydroxy-1,3,11,12-tetraoxo-4,4a,5,5a,6,11a-hexahydrotetracene-2-carboxamide                                                                                                                                                                                                                      | TP53_isoform_a |     YES     |     0.62    |
| 2145 |                                                                                                                                                                                                                                                                      4-(4-Fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)-1H-imidazole                                                                                                                                                                                                                                                                      | TP53_isoform_a |     YES     |     0.62    |
| 2146 |                                                                                                                                                                                                                                                                               1,3,5-Tris(4-hydroxyphenyl)-4-propyl-1H-pyrazole                                                                                                                                                                                                                                                                              | TP53_isoform_a |     YES     |     0.62    |
| 2147 |                                                                                                                                                                                                                                                                                                 Pasireotide                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.62    |
| 2148 |                                                                                                                                                                                                                                                                                        Phenylmethylsulfonyl fluoride                                                                                                                                                                                                                                                                                        | TP53_isoform_a |     YES     |     0.62    |
| 2149 |                                                                                                                                                                                                                                                                                                 Cycloserine                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.62    |
| 2150 |                                                                                                                                                                                                                                                             N-(9-Chloro-2-(furan-2-yl)-[1,2,4]triazolo[1,5-c]quinazolin-5-yl)-2-phenylacetamide                                                                                                                                                                                                                                                             | TP53_isoform_a |     YES     |     0.62    |
| 2151 |                                                                                                                                                                                                                                                                                                 Varespladib                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.62    |
| 2152 |                                                                                                                                                                                                                                                                                               Oxyphenbutazone                                                                                                                                                                                                                                                                                               | TP53_isoform_a |     YES     |     0.62    |
| 2153 |                                                                                                                                                                                                                                                                                                 Monobenzone                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.62    |
| 2154 |                                                                                                                                                                                                                                                                                                  Mefloquine                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.62    |
| 2155 |                                                                                                                      (3S)-3-Amino-4-[[(2R)-1-[[(2S)-1-[[(2S)-1-[[(2S,3S)-1-[[(2S)-1-[(2R)-2-[[(1R)-1-carboxy-2-phenylethyl]carbamoyl]pyrrolidin-1-yl]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-5-(diaminomethylideneamino)-1-oxopentan-2-yl]amino]-4-oxobutanoic acid                                                                                                                      | TP53_isoform_a |     YES     |     0.62    |
| 2156 |                                                                                                                                                                                                                                                                                                 Dizocilpine                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.62    |
| 2157 |                                                                                                                                                                                                                                                                        9-Chloro-2-(2-furyl)-(1,2,4)triazolo(1,5-c)quinazolin-5-imine                                                                                                                                                                                                                                                                        | TP53_isoform_a |     YES     |     0.62    |
| 2158 |                                                                                                                                                                                                                                                                                                  Oxaprozin                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.62    |
| 2159 |                                                                                                                                                                                                                                                                                                  Vorapaxar                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.62    |
| 2160 |                                                                                                                                                                                                                                   (3S)-3-[[8-Chloro-11-(2,2-difluoroethyl)-3-fluoro-5H-benzo[b][1,4]benzodiazepin-6-ylidene]amino]-N-propan-2-ylpyrrolidine-1-carboxamide                                                                                                                                                                                                                                   | TP53_isoform_a |     YES     |     0.62    |
| 2161 |                                                                                                                                                                                                                                                                         6-Chloro-3-methyl-5,10-dihydroimidazo[2,1-b]quinazolin-2-ol                                                                                                                                                                                                                                                                         | TP53_isoform_a |     YES     |     0.62    |
| 2162 |                                                                                                                                                                                                                                                          2-Chloro-4-((2,5-dimethyl-1-(4-(trifluoromethoxy)phenyl)-1H-imidazol-4-yl)ethynyl)pyridine                                                                                                                                                                                                                                                         | TP53_isoform_a |     YES     |     0.62    |
| 2163 |                                                                                                                                                                                                                                                                                                   Sesamin                                                                                                                                                                                                                                                                                                   | TP53_isoform_a |     YES     |     0.62    |
| 2164 |                                                                                                                                                                                                        (6R,7R)-7-[[(2E)-2-(2-Amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-(6,7-dihydro-5H-cyclopenta[b]pyridin-1-ium-1-ylmethyl)-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid                                                                                                                                                                                                       | TP53_isoform_a |     YES     |     0.62    |
| 2165 |                                                                                                                                                                                                                                                                                                  Lesinurad                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.62    |
| 2166 |                                                                                                                                                                                                                                                                                                  Cdk7-IN-1                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.62    |
| 2167 |                                                                                                                                                                                                                                                     (E)-1-(2-Hydroxyphenyl)-3-[(1R,4R)-5-pyridin-2-yl-2,5-diazabicyclo[2.2.1]heptan-2-yl]prop-2-en-1-one                                                                                                                                                                                                                                                    | TP53_isoform_a |     YES     |     0.62    |
| 2168 |                                                                                                                                                                                                                                                                                                 Apomorphine                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.62    |
| 2169 |                                                                                                                                                                                                                                                                                                   Arglabin                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.62    |
| 2170 |                                                                                                                                                                                                                                                                                       (2S)-2-Phenyl-1-cyclopropanamine                                                                                                                                                                                                                                                                                      | TP53_isoform_a |     YES     |     0.62    |
| 2171 |                                                                                                                                                                                                                                                                                                Fenticonazole                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.62    |
| 2172 |                                                                                                                                                                                                                                                                                                  Lofemizole                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.62    |
| 2173 |                                                                                                                                                                                                                                                                                        (5-Fluoropyridin-3-yl)methanol                                                                                                                                                                                                                                                                                       | TP53_isoform_a |     YES     |     0.62    |
| 2174 |                                                                                                                                                                                                                                                                                                  Cetrorelix                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.62    |
| 2175 |                                                                                                                                                                                                                                                                                                Aldoxorubicin                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.61    |
| 2176 |                                                                                                                                                                                                                                                                                  (5-Methoxy-1H-indol-2-yl)-phenylmethanone                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.61    |
| 2177 |                                                                                                                                                                                                                                                                         4-[(1R)-1-Hydroxy-2-(1-phenoxypropan-2-ylamino)propyl]phenol                                                                                                                                                                                                                                                                        | TP53_isoform_a |     YES     |     0.61    |
| 2178 |                                                                                                                                                                                                                                                                                                   Carbaryl                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.61    |
| 2179 |                                                                                                                                                                                                                                                                                                Triamcinolone                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.61    |
| 2180 |                                                                                                                                                                                                                                                           N-(2,6-Dibromo-4-methoxyphenyl)-4-(2-methylimidazo[1,2-a]pyrimidin-3-yl)thiazol-2-amine                                                                                                                                                                                                                                                           | TP53_isoform_a |     YES     |     0.61    |
| 2181 |                                                                                                                                                                                                                                    (E)-3-[3,5-Difluoro-4-[(1R,3R)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,3,4,9-tetrahydropyrido[3,4-b]indol-1-yl]phenyl]prop-2-enoic acid                                                                                                                                                                                                                                   | TP53_isoform_a |     YES     |     0.61    |
| 2182 |                                                                                                                                                                                                                                                                            2-Bromo-4-[(6,7-dimethoxyquinazolin-4-yl)amino]phenol                                                                                                                                                                                                                                                                            | TP53_isoform_a |     YES     |     0.61    |
| 2183 |                                                                                                                                                                                                                                                                                                     UNK                                                                                                                                                                                                                                                                                                     | TP53_isoform_a |     YES     |     0.61    |
| 2184 |                                                                                                                                                                                                                                                                                                   MK-8033                                                                                                                                                                                                                                                                                                   | TP53_isoform_a |     YES     |     0.61    |
| 2185 |                                                                                                                                                                                                                                                                4-Chloro-N-[(1S,2S)-2-[[(1R)-1-naphthalen-1-ylethyl]amino]cyclohexyl]benzamide                                                                                                                                                                                                                                                               | TP53_isoform_a |     YES     |     0.61    |
| 2186 |                                                                                                                                                                                                                                                    4-Fluoro-N-[5-fluoro-6-(5-methoxypyrazolo[1,5-a]pyridin-3-yl)-1H-pyrazolo[3,4-b]pyridin-3-yl]benzamide                                                                                                                                                                                                                                                   | TP53_isoform_a |     YES     |     0.61    |
| 2187 |                                                                                                                                                                                                                                                                 3-(4-Chlorophenyl)-1-(1-methyl-3-oxo-2-phenyl-5-propan-2-ylpyrazol-4-yl)urea                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.61    |
| 2188 |                                                                                                                                                                                                                                                                                              Norbinaltorphimine                                                                                                                                                                                                                                                                                             | TP53_isoform_a |     YES     |     0.61    |
| 2189 |                                                                                                                                                                                                                                                                                                     UNK                                                                                                                                                                                                                                                                                                     | TP53_isoform_a |     YES     |     0.61    |
| 2190 |                                                                                                                                                                                                                                                                                   N-1H-Pyrrolo[2,3-c]pyridin-5-ylbenzamide                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.61    |
| 2191 |                                                                                                                                                                                                                                                                  1-(2,3-Dichlorophenyl)-N-[(2-pyridin-2-yloxyphenyl)methyl]tetrazol-5-amine                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.61    |
| 2192 |                                                                                                                                                                                       (3S,5R,8R,9S,10R,13R,14S,17R)-3-[(2R,4S,5S)-3,5-Dihydroxy-4-methoxy-6-methyloxan-2-yl]oxy-14-hydroxy-13-methyl-17-(5-oxo-2H-furan-3-yl)-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthrene-10-carbaldehyde                                                                                                                                                                                      | TP53_isoform_a |     YES     |     0.61    |
| 2193 |                                                                                                                                                                                                                                                                                                Catharanthine                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.61    |
| 2194 |                                                                                                                                                                                                                                                                          1-(5-Chloro-2-methoxyphenyl)-3-(2-methylquinolin-4-yl)urea                                                                                                                                                                                                                                                                         | TP53_isoform_a |     YES     |     0.61    |
| 2195 |                                                                                                                                                                                                                                                                                                 Epinephrine                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.61    |
| 2196 |                                                                                                                                                                                                                                                                                          N-(1H-Indol-5-yl)benzamide                                                                                                                                                                                                                                                                                         | TP53_isoform_a |     YES     |     0.61    |
| 2197 |                                                                                                                                                                                                                                                             2-(2-Benzoylanilino)-3-[4-[2-[methyl(2-pyridinyl)amino]ethoxy]phenyl]propanoic acid                                                                                                                                                                                                                                                             | TP53_isoform_a |     YES     |     0.61    |
| 2198 |                                                                                                                                                                                                                                                     (5Z)-5-{[2,5-Dimethyl-1-(3-pyridinyl)-1H-pyrrol-3-yl]methylene}-3-phenyl-1,3-thiazolidine-2,4-dione                                                                                                                                                                                                                                                     | TP53_isoform_a |     YES     |     0.61    |
| 2199 |                                                                                                                                                                                                                                                                                                  Felbamate                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.61    |
